epoch,train_time_s,lr_G,train/G_L1,train/G_total,val/mae_norm,val/mae_norm__n,val/mae_norm/brain,val/mae_norm/spine,val/mae_norm/abdomen,val/mae_norm/musculoskeletal,val/mae_norm__macro,val/mae_hu,val/mae_hu__n,val/mae_hu/brain,val/mae_hu/spine,val/mae_hu/abdomen,val/mae_hu/musculoskeletal,val/mae_hu__macro,val/psnr,val/psnr__n,val/psnr/brain,val/psnr/spine,val/psnr/abdomen,val/psnr/musculoskeletal,val/psnr__macro,val/ssim,val/ssim__n,val/ssim/brain,val/ssim/spine,val/ssim/abdomen,val/ssim/musculoskeletal,val/ssim__macro,val/mae_band_soft,val/mae_band_soft__n,val/mae_band_soft/spine,val/mae_band_soft/abdomen,val/mae_band_soft/musculoskeletal,val/mae_band_soft__macro,val/mae_band_bone,val/mae_band_bone__n,val/mae_band_bone/spine,val/mae_band_bone/abdomen,val/mae_band_bone/musculoskeletal,val/mae_band_bone__macro,val/dice_bone,val/dice_bone__n,val/dice_bone/spine,val/dice_bone/abdomen,val/dice_bone/musculoskeletal,val/dice_bone__macro,val/n_samples,val/n_bone_eligible,is_best
0,29.1,0.0002,0.29922730716921037,29.92273064567929,0.10240103681774243,230,0.11264566211423403,0.10470155378182729,0.10436880810463682,0.08573954485888992,0.10186389221489701,32.330255624392755,230,9.011652969138723,52.35077689091364,41.74752324185473,42.86977242944496,36.49493138283801,14.859741999898397,230,13.015722105196712,15.35249062014313,15.38552513622103,16.235939502171426,14.997419340933074,0.3703877702355385,230,0.4162753616840067,0.3086764911810557,0.347316878273132,0.3608528838625976,0.358280403750198,34.28039955043193,159,39.54370625813802,35.68534646135696,31.0762072290693,35.43508664952143,187.95867815204696,153,169.16458638509116,192.78017349243163,183.0552012125651,181.666653696696,0.00026503133509928983,153,0.0,3.203545929864049e-05,0.0006975296839502536,0.00024318838108296472,230,159,True
1,29.4,0.0002,0.23665549059708912,23.665549069359187,0.10093033088614112,230,0.11032546589701948,0.1041355977455775,0.10390069089988445,0.08351754822901317,0.10046982569287365,31.914852888687797,230,8.826037271761559,52.06779887278875,41.56027635995378,41.758774114506586,36.05322165475267,14.935142486248006,230,13.167011353628295,15.41839605398986,15.379248465125595,16.353750812887824,15.079601671407893,0.40182147907174154,230,0.44015373541435726,0.33381153146425885,0.38136857526099427,0.3984834841851677,0.3884543315811945,33.89622028518773,159,39.7865481906467,35.62064594918109,30.05498879296439,35.15406097759739,185.34365430844375,153,162.97428215874567,190.2949206882053,180.81977236712422,178.02965840469173,0.0013937094384649147,153,0.0,0.0001518500816827226,0.003695759939512721,0.0012825366737318144,230,159,True
2,31.0,0.0002,0.22144174731913066,22.14417466663179,0.0986362825917161,230,0.1065816397608166,0.1042031165626314,0.10294149863593122,0.08044142236134835,0.09854191933018189,31.29242570957412,230,8.526531180865328,52.1015582813157,41.176599454372486,40.22071118067418,35.506350024306926,15.060282956966423,230,13.396202970855505,15.450500918674878,15.392293874594023,16.550081012350436,15.19726969411871,0.45354294504808346,230,0.4813561578031997,0.3851091331905789,0.4325125724711317,0.4645790383219719,0.44088922544672055,33.372256764825785,159,40.6595081753201,35.43543034411491,28.73790713718959,34.944281885541535,180.8699698853337,153,153.8467000325521,186.3080323961046,176.31041067617912,172.15504770161192,0.009433670759373795,155,0.0011140963437760042,0.0038007963394984076,0.020417015506946308,0.00844396939674024,230,159,True
3,33.6,0.0002,0.2118830375728153,21.18830376579648,0.09620857583763806,230,0.10214422013558133,0.10558400965399212,0.10211888890951237,0.07725537801161408,0.09677562417767498,30.687513135373592,230,8.171537610846507,52.79200482699606,40.84755556380495,38.62768900580704,35.10969675186364,15.210239281920503,230,13.68495816597516,15.424555922996515,15.407420221902578,16.778651801636936,15.323896528127797,0.5030337644659955,230,0.524348966672387,0.43153690960672164,0.475554421861121,0.5336257384291717,0.4912665091423503,32.96176528930664,159,42.38383992513021,35.33401493316001,27.465512820652553,35.06112255964759,175.58704944685394,153,143.09894476996527,181.87764892578124,170.51740109478985,165.1646649301788,0.03839796547597025,157,0.019754213487936392,0.02437893649649566,0.06515366480294192,0.036428938262457994,230,159,True
4,31.7,0.0002,0.2043863405783971,20.438634041377476,0.09354207559448222,230,0.09742533767097433,0.1067019725839297,0.10150475387877607,0.07313774632556098,0.09469245261481027,29.991175815463066,230,7.794027013677947,53.35098629196485,40.60190155151042,36.56887316278049,34.578947004983426,15.388149039493117,230,14.009883413343829,15.380856036104367,15.42222435377916,17.079567199211148,15.473132750609626,0.542988667410353,230,0.5626019151277946,0.4602500796318054,0.5049479204289457,0.5952732552375112,0.5307682926065143,32.36147689819336,159,43.746587965223526,35.24855122667678,25.685566425323486,34.8935685390746,171.78609715879352,153,134.3711183336046,179.0943315294054,165.84153634530526,159.76899540277176,0.08752348273380801,157,0.07538586296141148,0.07275131080889204,0.1144880384968763,0.08754173742239328,230,159,True
5,45.7,0.0002,0.19681451732204075,20.0763488587879,0.09076405311732189,230,0.09277796493449682,0.10752077069547442,0.10100028386458437,0.06833541226972427,0.09240860794106998,29.225324025296647,230,7.422237194759745,53.760385347737206,40.40011354583375,34.16770613486214,33.93761055579821,15.573719747579977,230,14.33642177152044,15.345784575645776,15.436581303562054,17.409265936603536,15.632013396832951,0.5730308773724929,230,0.5952706106112037,0.47379657957288956,0.5243029191772989,0.6425758004188538,0.5589864774450615,31.640203218040227,159,44.83017349243164,35.156499639470525,23.618031859397888,34.53490166376668,168.66990217819713,153,126.29595099555121,177.54611587524414,160.93853788022642,154.9268682503406,0.13111986003068696,157,0.14352988451719284,0.11544343186742677,0.15559654364531691,0.13818995334331216,230,159,True
6,44.0,0.0002,0.1932476287796384,19.58525160834903,0.08840872948260411,230,0.08864193740235247,0.10836046437422435,0.1004302534968295,0.0647275395957487,0.09054004871728875,28.607204062135324,230,7.091354992188198,54.180232187112175,40.1721013987318,32.36376979787435,33.45186459397663,15.726551174794983,230,14.607456746239968,15.300339726182463,15.464385531342078,17.653965066750185,15.756536767628674,0.5939517465622529,230,0.6186300633658826,0.48049088650279576,0.5370440609911655,0.6764215624758175,0.5781466433339153,31.17637398557843,159,45.94255659315321,35.04714095338862,22.30587865625109,34.4318587342643,164.66479477227904,153,117.33190324571397,175.78812874688043,154.01472006903754,149.0449173538773,0.1697226208456715,157,0.21364704188373354,0.1498920413144734,0.196066695519469,0.18653525957255865,230,159,True
7,44.1,0.0002,0.18856050730461166,19.139141200837635,0.08659058144397062,230,0.08521047179442896,0.10934871931870778,0.09993332624435425,0.062286055247698514,0.08919464315129738,28.16333621934704,230,6.816837743554316,54.67435965935389,39.9733304977417,31.143027623849257,33.15188888112479,15.844333339349092,230,14.808335133021277,15.222806474996137,15.501797091032595,17.832690870959848,15.841407392502465,0.6071379350579303,230,0.6340716980712514,0.4830169412824843,0.5449510695452385,0.6973228837762561,0.5898406481688075,30.97020170223788,159,47.20571857028537,34.9572632363502,21.668354630470276,34.610445479035285,160.50464899399702,153,106.69189368353949,174.2919302198622,146.4946395026313,142.49282113534431,0.20683656745700754,157,0.2855324116018083,0.1839673604184139,0.2317598612114255,0.23375321107721592,230,159,True
8,44.2,0.0002,0.18338654211589267,18.639657729012626,0.08497107646063617,230,0.08229280989879453,0.11109267340766059,0.09927727127487355,0.06015465218972947,0.08820435169276454,27.758677616553463,230,6.583424791903563,55.54633670383029,39.71090850994942,30.077326094864734,32.979499025137,15.945053755254389,230,14.95930386638829,15.07442540126209,15.547950625307486,18.001332175083544,15.895753017010353,0.6154473658489145,230,0.6442104246414883,0.4843199882242415,0.5501683611184993,0.7096294313669205,0.5970820513377874,30.79803091924895,159,48.711758083767364,34.78404264247164,21.228233660970414,34.90801146240314,156.18413785547992,153,98.25023990207248,172.84188537597657,138.07687498022008,136.38966675275637,0.24481444349987017,157,0.3442696084578832,0.21687084917768673,0.274737911232348,0.2786261229559726,230,159,True
9,44.1,0.0002,0.1815703058881419,18.513808227720716,0.08369946473318597,230,0.0799414049834013,0.1139598000380728,0.09871742969497721,0.05839215255608516,0.08775269681813412,27.45061699381989,230,6.395312398672104,56.9799000190364,39.48697187799088,29.19607627804258,33.01456514343549,16.018379705575718,230,15.049065204500161,14.85647017808835,15.591430000295686,18.15073305593417,15.911924609704592,0.6209511579378791,230,0.6509550780477659,0.4851235979133182,0.554002490766505,0.7171180226973125,0.6017997973562254,30.649395354888725,159,50.5967894660102,34.58140334677189,20.843407886368887,35.34053356638366,153.5753975413204,153,95.24446105957031,172.67741995917427,131.46051625852232,133.12746575908898,0.2762709903545798,155,0.37843016700612175,0.23822937313335665,0.32405610506733257,0.31357188173560363,230,159,True
